"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"101",6.3,3.3,6,2.5,"virginica"
"103",7.1,3,5.9,2.1,"virginica"
"105",6.5,3,5.8,2.2,"virginica"
"107",4.9,2.5,4.5,1.7,"virginica"
"109",6.7,2.5,5.8,1.8,"virginica"
"111",6.5,3.2,5.1,2,"virginica"
"113",6.8,3,5.5,2.1,"virginica"
"115",5.8,2.8,5.1,2.4,"virginica"
"117",6.5,3,5.5,1.8,"virginica"
"119",7.7,2.6,6.9,2.3,"virginica"
"121",6.9,3.2,5.7,2.3,"virginica"
"123",7.7,2.8,6.7,2,"virginica"
"125",6.7,3.3,5.7,2.1,"virginica"
"127",6.2,2.8,4.8,1.8,"virginica"
"129",6.4,2.8,5.6,2.1,"virginica"
"131",7.4,2.8,6.1,1.9,"virginica"
"133",6.4,2.8,5.6,2.2,"virginica"
"135",6.1,2.6,5.6,1.4,"virginica"
"137",6.3,3.4,5.6,2.4,"virginica"
"139",6,3,4.8,1.8,"virginica"
"141",6.7,3.1,5.6,2.4,"virginica"
"143",5.8,2.7,5.1,1.9,"virginica"
"145",6.7,3.3,5.7,2.5,"virginica"
"147",6.3,2.5,5,1.9,"virginica"
"149",6.2,3.4,5.4,2.3,"virginica"
